product_name,size,description,image,store_id,price,unit_price,is_special,special_type,special_buy_quantity,special_buy_price
Woolworths Free From Gluten Choc Hot Cross Buns 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/59004.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.5,$1.38/1ea,False,,,
Dollar Sweets Easter Cookie Decorating Kit 230g,230g,,https://assets.woolworths.com.au/images/1005/6046926.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$6.00/1ea,False,,,
Cadbury Dream White Chocolate Easter Egg Gift Box 155g,155g,,https://assets.woolworths.com.au/images/1005/65166.jpg?impolicy=wowsmkqiema&w=260&h=260,4,13.5,$8.71/100g,False,,,
Pittsworth Sugarcraft Candy Easter Eggs Assorted 130g,130g,,https://assets.woolworths.com.au/images/1005/110210.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.5,$5.00/100g,False,,,
Darrell Lea Milk Chocolate Raspberry Flavoured Easter Eggs 110g,110g,,https://assets.woolworths.com.au/images/1005/410453.jpg?impolicy=wowsmkqiema&w=260&h=260,4,3.75,$3.41/100g,False,,,
Red Tulip Chocolate Sitting Easter Bunny Assorted 170g,170g,,https://assets.woolworths.com.au/images/1005/69549.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.0,$4.12/100g,False,,,
Toblerone Tiny Milk Chocolate Gift Pouch 120g,120g,,https://assets.woolworths.com.au/images/1005/747470.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.0,$4.17/100g,False,,,
Cadbury Sour Patch Kids Lollies Chocolate Easter Egg Gift Box 160g,160g,,https://assets.woolworths.com.au/images/1005/394701.jpg?impolicy=wowsmkqiema&w=260&h=260,4,13.5,$8.44/100g,False,,,
Lindt Easter Gold Bunny Milk Chocolate 100g,100g,,https://assets.woolworths.com.au/images/1005/66140.jpg?impolicy=wowsmkqiema&w=260&h=260,4,8.4,$8.40/100g,False,,,
Cadbury Crunchie Chocolate Easter Bunny 270g,270g,,https://assets.woolworths.com.au/images/1005/77236.jpg?impolicy=wowsmkqiema&w=260&h=260,4,10.5,$3.89/100g,False,,,
Lindt Lindor Assorted Chocolate Gift Box 232g,232g,,https://assets.woolworths.com.au/images/1005/257072.jpg?impolicy=wowsmkqiema&w=260&h=260,4,14.0,$6.03/100g,False,,,
Park Avenue Peppa Pig Milk Chocolate Egg With Popping Candy 40g,40g,,https://assets.woolworths.com.au/images/1005/6043915.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.0,$12.50/100g,False,,,
Sweet William Vegan Mylk Choclate Easter Bunnies 155g,155g,,https://assets.woolworths.com.au/images/1005/746140.jpg?impolicy=wowsmkqiema&w=260&h=260,4,10.0,$6.45/100g,False,,,
Woolworths Caramel Milk Chocolate Easter Eggs 150g,150g,,https://assets.woolworths.com.au/images/1005/6029835.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.1,$2.73/100g,False,,,
Cadbury Dream White Chocolate Easter Bunny 150g,150g,,https://assets.woolworths.com.au/images/1005/778214.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.0,$4.67/100g,False,,,
Cadbury Freddo Milk Chocolate Easter Egg Gift Box 124g,124g,,https://assets.woolworths.com.au/images/1005/408598.jpg?impolicy=wowsmkqiema&w=260&h=260,4,11.5,$9.27/100g,False,,,
Kinder Easter Milk Chocolate with Milky Filling Mini Eggs Bag 270g,270g,,https://assets.woolworths.com.au/images/1005/112072.jpg?impolicy=wowsmkqiema&w=260&h=260,4,17.0,$6.30/100g,False,,,
Cadbury Dairy Milk Chocolate Sitting Easter Bunny 170g,170g,,https://assets.woolworths.com.au/images/1005/671152.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.0,$4.12/100g,False,,,
Nestle Easter Milkybar Speckled Fizz 42g,42g,,https://assets.woolworths.com.au/images/1005/6048137.jpg?impolicy=wowsmkqiema&w=260&h=260,4,1.5,$3.57/100g,False,,,
Life Savers Fruit Tingle Milk Chocolate Easter Bunny 170g,170g,,https://assets.woolworths.com.au/images/1005/194879.jpg?impolicy=wowsmkqiema&w=260&h=260,4,6.0,$3.53/100g,False,,,
Cadbury Old Gold Dark Chocolate Easter Bunny 150g,150g,,https://assets.woolworths.com.au/images/1005/778262.jpg?impolicy=wowsmkqiema&w=260&h=260,4,7.0,$4.67/100g,False,,,
Lindt Gold Milk Chocolate Mini Easter Bunny 5 pack,5 pack,,https://assets.woolworths.com.au/images/1005/663632.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.75,$11.50/100g,False,,,
Park Avenue Jurassic World Milk Chocolate Egg With Popping Candy 40g,40g,,https://assets.woolworths.com.au/images/1005/6043938.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.0,$12.50/100g,False,,,
